id,cargo_type,commodity,quantity,origin,destination_port_id,laycan_start,laycan_end,contract_preference,required_vessel_type,loading_date,discharge_deadline,priority,contract_type,freight_rate,currency,charter_duration,special_requirements,created_at
13552,Iron Ore,Lump Ore,178700,"Port Hedland, Australia",3,2021-07-06,2021-07-13,Spot,Capesize,2021-07-07,2021-08-08,High,Spot,18.73,USD,30,Standard,2021-06-16T00:00:00Z
13553,Iron Ore,Iron Ore Pellets,59200,"Port Hedland, Australia",1,2021-11-07,2021-11-17,Spot,Supramax,2021-11-11,2021-12-14,Normal,Spot,23.4,USD,30,Standard,2021-10-28T00:00:00Z
13554,Coking Coal,Hard Coking Coal,168400,"Norfolk, USA",1,2024-08-05,2024-08-12,Spot,Capesize,2024-08-06,2024-09-25,Normal,Spot,31.81,USD,50,Standard,2024-07-20T00:00:00Z
13555,Thermal Coal,Indonesian High Calorie Coal,60400,"Baltimore, USA",3,2023-07-01,2023-07-08,CoA,Supramax,2023-07-07,2023-08-27,Normal,CoA,36.91,USD,50,Standard,2023-06-15T00:00:00Z
13556,Thermal Coal,Indonesian High Calorie Coal,51700,"Vostochny, Russia",1,2022-01-18,2022-01-23,CoA,Supramax,2022-01-22,2022-03-11,Normal,CoA,37.68,USD,50,Standard,2021-12-22T00:00:00Z
13557,Coking Coal,Semi-Soft Coking Coal,71300,"Newcastle, Australia",2,2023-03-14,2023-03-19,CoA,Panamax,2023-03-17,2023-04-13,High,CoA,24.86,USD,30,Low moisture cargo,2023-02-22T00:00:00Z
13558,Coking Coal,Hard Coking Coal,75700,"Norfolk, USA",1,2024-06-25,2024-06-30,Spot,Panamax,2024-06-28,2024-08-17,Normal,Spot,39.28,USD,50,Standard,2024-06-15T00:00:00Z
13559,Thermal Coal,Indonesian High Calorie Coal,70500,"Norfolk, USA",1,2025-08-23,2025-08-28,Spot,Panamax,2025-08-26,2025-10-13,Normal,Spot,37.07,USD,50,Standard,2025-08-14T00:00:00Z
13560,Coking Coal,Hard Coking Coal,60000,"Maputo, Mozambique",6,2025-06-02,2025-06-09,CoA,Supramax,2025-06-06,2025-07-29,Normal,CoA,39.76,USD,50,Standard,2025-05-12T00:00:00Z
13561,Coking Coal,Hard Coking Coal,52500,"Norfolk, USA",4,2022-06-22,2022-07-02,Spot,Supramax,2022-07-01,2022-08-23,Normal,Spot,40.26,USD,50,Standard,2022-05-29T00:00:00Z
13562,Limestone,Calcined Lime,69800,"Samarinda, Indonesia",2,2024-09-11,2024-09-18,Spot,Panamax,2024-09-12,2024-10-03,Normal,Spot,14.53,USD,20,Standard,2024-08-18T00:00:00Z
13563,Coking Coal,PCI Coal,148600,"Maputo, Mozambique",3,2021-04-23,2021-04-28,CoA,Capesize,2021-04-24,2021-06-10,Normal,CoA,31.19,USD,50,Standard,2021-04-11T00:00:00Z
13564,Coking Coal,Hard Coking Coal,81000,"Maputo, Mozambique",1,2023-03-22,2023-03-27,Spot,Panamax,2023-03-26,2023-05-16,High,Spot,39.07,USD,50,Standard,2023-03-13T00:00:00Z
13565,Coking Coal,Semi-Soft Coking Coal,161400,"Tanjung Priok, Indonesia",1,2023-06-19,2023-06-24,CoA,Capesize,2023-06-20,2023-07-12,Normal,CoA,12.19,USD,20,Standard,2023-06-05T00:00:00Z
13566,Thermal Coal,Indonesian High Calorie Coal,57600,"Tanjung Priok, Indonesia",4,2021-11-16,2021-11-21,CoA,Supramax,2021-11-18,2021-12-05,Normal,CoA,17.46,USD,20,Standard,2021-11-07T00:00:00Z
13567,Coking Coal,Semi-Soft Coking Coal,53900,"Tanjung Priok, Indonesia",6,2022-12-26,2023-01-05,Spot,Supramax,2022-12-31,2023-01-19,Normal,Spot,13.45,USD,20,Standard,2022-12-13T00:00:00Z
13568,Coking Coal,Semi-Soft Coking Coal,69300,"Newcastle, Australia",2,2022-01-30,2022-02-06,Spot,Panamax,2022-02-03,2022-03-03,Normal,Spot,23.25,USD,30,Standard,2022-01-08T00:00:00Z
13569,Coking Coal,Hard Coking Coal,183700,"Port Hedland, Australia",1,2022-01-22,2022-02-05,Spot,Capesize,2022-01-31,2022-02-27,Normal,Spot,23.2,USD,30,Standard,2021-12-27T00:00:00Z
13570,Coking Coal,Semi-Soft Coking Coal,167000,"Norfolk, USA",1,2023-08-16,2023-08-23,CoA,Capesize,2023-08-20,2023-10-12,Urgent,CoA,33.1,USD,50,Standard,2023-07-22T00:00:00Z
13571,Coking Coal,Semi-Soft Coking Coal,74000,"Newcastle, Australia",1,2021-07-21,2021-08-04,Spot,Panamax,2021-08-02,2021-09-03,Normal,Spot,25.93,USD,30,Standard,2021-07-01T00:00:00Z
13572,Coking Coal,Semi-Soft Coking Coal,61400,"Baltimore, USA",6,2023-05-26,2023-06-05,Spot,Supramax,2023-06-01,2023-07-21,Normal,Spot,37.84,USD,50,Standard,2023-05-02T00:00:00Z
13573,Coking Coal,Semi-Soft Coking Coal,70800,"Vostochny, Russia",1,2021-03-06,2021-03-20,CoA,Panamax,2021-03-09,2021-05-01,Normal,CoA,37.21,USD,50,Standard,2021-02-07T00:00:00Z
13574,Coking Coal,PCI Coal,54900,"Hay Point, Australia",5,2023-06-22,2023-06-29,CoA,Supramax,2023-06-24,2023-07-26,Normal,CoA,24.4,USD,30,Standard,2023-06-07T00:00:00Z
13575,Iron Ore,Lump Ore,51900,"Newcastle, Australia",1,2025-07-11,2025-07-18,Spot,Supramax,2025-07-15,2025-08-11,Normal,Spot,25.03,USD,30,Fast discharge required,2025-06-16T00:00:00Z
13576,Limestone,Calcined Lime,31200,"Hay Point, Australia",6,2023-02-12,2023-02-19,Spot,Handysize,2023-02-16,2023-03-20,Normal,Spot,28.48,USD,30,Standard,2023-01-31T00:00:00Z
13577,Coking Coal,Hard Coking Coal,55800,"Samarinda, Indonesia",8,2024-10-07,2024-10-12,Spot,Supramax,2024-10-09,2024-10-26,Normal,Spot,15.52,USD,20,Standard,2024-09-10T00:00:00Z
13578,Coking Coal,Semi-Soft Coking Coal,72200,"Gladstone, Australia",2,2025-05-01,2025-05-06,Spot,Panamax,2025-05-02,2025-06-03,Normal,Spot,24.01,USD,30,Standard,2025-04-12T00:00:00Z
13579,Iron Ore,Iron Ore Pellets,53700,"Norfolk, USA",6,2022-02-01,2022-02-11,Spot,Supramax,2022-02-09,2022-04-02,Normal,Spot,37.04,USD,50,Standard,2022-01-21T00:00:00Z
13580,Thermal Coal,Non-Coking Coal Grade G1-G5,80200,"Balikpapan, Indonesia",1,2024-02-04,2024-02-09,Spot,Panamax,2024-02-08,2024-02-25,Normal,Spot,17.37,USD,20,Standard,2024-01-09T00:00:00Z
13581,Coking Coal,PCI Coal,25600,"Hay Point, Australia",6,2024-03-16,2024-03-23,Spot,Handysize,2024-03-22,2024-04-21,Normal,Spot,30.11,USD,30,Standard,2024-02-23T00:00:00Z
13582,Coking Coal,Hard Coking Coal,58900,"Newcastle, Australia",4,2026-01-05,2026-01-12,CoA,Supramax,2026-01-11,2026-02-10,High,CoA,23.66,USD,30,Standard,2025-12-14T00:00:00Z
13583,Iron Ore,Lump Ore,30100,"Newcastle, Australia",6,2024-05-20,2024-05-25,CoA,Handysize,2024-05-24,2024-06-22,Normal,CoA,26.89,USD,30,Standard,2024-05-04T00:00:00Z
13584,Coking Coal,Semi-Soft Coking Coal,163700,"Norfolk, USA",3,2024-09-24,2024-10-01,Spot,Capesize,2024-09-25,2024-11-16,Urgent,Spot,32.11,USD,50,Standard,2024-09-09T00:00:00Z
13585,Coking Coal,Semi-Soft Coking Coal,50700,"Tanjung Priok, Indonesia",4,2024-03-23,2024-03-28,Spot,Supramax,2024-03-27,2024-04-13,Normal,Spot,13.89,USD,20,Standard,2024-03-02T00:00:00Z
13586,Coking Coal,PCI Coal,77300,"Hay Point, Australia",1,2022-09-19,2022-09-26,Spot,Panamax,2022-09-22,2022-10-25,Normal,Spot,23.67,USD,30,Standard,2022-08-24T00:00:00Z
13587,Coking Coal,PCI Coal,178500,"Maputo, Mozambique",1,2022-12-31,2023-01-07,Spot,Capesize,2023-01-01,2023-02-17,Normal,Spot,33.48,USD,50,Standard,2022-12-13T00:00:00Z
13588,Thermal Coal,Indonesian High Calorie Coal,71500,"Gladstone, Australia",1,2023-12-17,2023-12-22,Spot,Panamax,2023-12-20,2024-01-18,Normal,Spot,23.05,USD,30,Standard,2023-11-27T00:00:00Z
13589,Coking Coal,PCI Coal,156200,"Tanjung Priok, Indonesia",4,2026-02-25,2026-03-02,Spot,Capesize,2026-02-27,2026-03-18,Normal,Spot,13.42,USD,20,Standard,2026-02-17T00:00:00Z
13590,Iron Ore,Iron Ore Fines 62% Fe,177700,"Baltimore, USA",1,2026-01-31,2026-02-07,Spot,Capesize,2026-02-02,2026-03-25,High,Spot,31.64,USD,50,Standard,2026-01-14T00:00:00Z
13591,Iron Ore,Lump Ore,81100,"Samarinda, Indonesia",1,2022-10-03,2022-10-13,CoA,Panamax,2022-10-06,2022-10-25,Normal,CoA,13.7,USD,20,Standard,2022-09-23T00:00:00Z
13592,Thermal Coal,Non-Coking Coal Grade G1-G5,72800,"Maputo, Mozambique",1,2021-01-17,2021-01-24,Spot,Panamax,2021-01-20,2021-03-14,Normal,Spot,39.59,USD,50,Standard,2020-12-22T00:00:00Z
13593,Coking Coal,Hard Coking Coal,74700,"Newcastle, Australia",4,2025-11-24,2025-11-29,Spot,Panamax,2025-11-27,2025-12-29,Normal,Spot,23.89,USD,30,Standard,2025-10-31T00:00:00Z
13594,Thermal Coal,Indonesian High Calorie Coal,76800,"Balikpapan, Indonesia",1,2021-06-12,2021-06-22,CoA,Panamax,2021-06-21,2021-07-08,Normal,CoA,17.04,USD,20,Self-unloader preferred,2021-05-27T00:00:00Z
13595,Iron Ore,Iron Ore Pellets,150000,"Hay Point, Australia",4,2023-01-03,2023-01-08,Spot,Capesize,2023-01-06,2023-02-05,Normal,Spot,20.67,USD,30,Standard,2022-12-21T00:00:00Z
13596,Coking Coal,Semi-Soft Coking Coal,176900,"Hay Point, Australia",1,2021-07-28,2021-08-04,Spot,Capesize,2021-07-30,2021-08-28,Normal,Spot,18.12,USD,30,Standard,2021-07-17T00:00:00Z
13597,Thermal Coal,Indonesian High Calorie Coal,65700,"Vostochny, Russia",1,2025-07-22,2025-07-27,Spot,Panamax,2025-07-24,2025-09-12,Normal,Spot,38.05,USD,50,Standard,2025-07-01T00:00:00Z
13598,Coking Coal,Semi-Soft Coking Coal,176500,"Norfolk, USA",1,2021-05-10,2021-05-17,Spot,Capesize,2021-05-12,2021-07-04,Normal,Spot,32.94,USD,50,Standard,2021-04-21T00:00:00Z
13599,Coking Coal,Hard Coking Coal,158000,"Norfolk, USA",1,2025-01-30,2025-02-09,Spot,Capesize,2025-02-08,2025-03-31,High,Spot,33.17,USD,50,Standard,2025-01-08T00:00:00Z
13600,Coking Coal,Semi-Soft Coking Coal,80100,"Maputo, Mozambique",1,2025-05-17,2025-05-27,Spot,Panamax,2025-05-19,2025-07-09,Urgent,Spot,36.38,USD,50,Standard,2025-04-24T00:00:00Z
13601,Thermal Coal,Indonesian High Calorie Coal,54700,"Gladstone, Australia",3,2024-04-11,2024-04-16,Spot,Supramax,2024-04-15,2024-05-17,Normal,Spot,26.62,USD,30,Standard,2024-03-26T00:00:00Z
13602,Coking Coal,Hard Coking Coal,70600,"Maputo, Mozambique",2,2022-09-05,2022-09-10,CoA,Panamax,2022-09-09,2022-10-29,Normal,CoA,37.18,USD,50,Standard,2022-08-15T00:00:00Z
13603,Iron Ore,Lump Ore,70300,"Newcastle, Australia",4,2023-07-05,2023-07-12,Spot,Panamax,2023-07-07,2023-08-04,Normal,Spot,24.31,USD,30,Standard,2023-06-27T00:00:00Z
13604,Coking Coal,Hard Coking Coal,78700,"Maputo, Mozambique",3,2024-03-12,2024-03-19,Spot,Panamax,2024-03-18,2024-05-09,Normal,Spot,38.37,USD,50,Standard,2024-03-01T00:00:00Z
13605,Limestone,SMS Grade Limestone,70000,"Norfolk, USA",2,2021-04-14,2021-04-19,CoA,Panamax,2021-04-17,2021-06-06,High,CoA,37.59,USD,50,Geared vessel required,2021-04-06T00:00:00Z
13606,Coking Coal,Semi-Soft Coking Coal,177800,"Gladstone, Australia",1,2021-09-04,2021-09-14,Spot,Capesize,2021-09-06,2021-10-08,High,Spot,20.2,USD,30,Standard,2021-08-25T00:00:00Z
13607,Iron Ore,Lump Ore,144800,"Vostochny, Russia",1,2024-09-17,2024-09-27,Spot,Capesize,2024-09-22,2024-11-08,Normal,Spot,30.31,USD,50,Standard,2024-09-05T00:00:00Z
13608,Limestone,Calcined Lime,77400,"Balikpapan, Indonesia",4,2024-08-12,2024-08-19,Spot,Panamax,2024-08-15,2024-09-03,Normal,Spot,16.54,USD,20,Standard,2024-07-17T00:00:00Z
13609,Thermal Coal,Non-Coking Coal Grade G1-G5,68800,"Balikpapan, Indonesia",4,2024-01-29,2024-02-03,CoA,Panamax,2024-02-02,2024-02-23,Normal,CoA,15.92,USD,20,Standard,2024-01-09T00:00:00Z
13610,Coking Coal,Semi-Soft Coking Coal,81000,"Samarinda, Indonesia",1,2021-09-05,2021-09-12,Spot,Panamax,2021-09-09,2021-09-26,High,Spot,15.01,USD,20,Self-unloader preferred,2021-08-16T00:00:00Z
13611,Coking Coal,PCI Coal,52800,"Port Hedland, Australia",2,2024-09-27,2024-10-02,CoA,Supramax,2024-09-29,2024-10-29,Normal,CoA,23.97,USD,30,Geared vessel required,2024-09-03T00:00:00Z
13612,Coking Coal,Hard Coking Coal,54100,"Tanjung Priok, Indonesia",5,2026-01-10,2026-01-17,Spot,Supramax,2026-01-16,2026-02-02,High,Spot,14.4,USD,20,Standard,2026-01-01T00:00:00Z
13613,Coking Coal,Semi-Soft Coking Coal,53500,"Vostochny, Russia",8,2022-06-03,2022-06-10,Spot,Supramax,2022-06-08,2022-07-29,High,Spot,40.17,USD,50,Standard,2022-05-08T00:00:00Z
13614,Limestone,Calcined Lime,30800,"Norfolk, USA",6,2022-08-25,2022-09-04,Spot,Handysize,2022-08-31,2022-10-22,Normal,Spot,47.95,USD,50,Standard,2022-08-02T00:00:00Z
13615,Iron Ore,Lump Ore,162600,"Balikpapan, Indonesia",1,2024-04-14,2024-04-19,Spot,Capesize,2024-04-18,2024-05-10,Normal,Spot,11.89,USD,20,Fast discharge required,2024-03-17T00:00:00Z
13616,Thermal Coal,Indonesian High Calorie Coal,56100,"Samarinda, Indonesia",1,2023-10-21,2023-10-28,Spot,Supramax,2023-10-26,2023-11-15,Normal,Spot,13.9,USD,20,Standard,2023-09-25T00:00:00Z
13617,Coking Coal,Semi-Soft Coking Coal,68000,"Port Hedland, Australia",2,2025-05-14,2025-05-21,Spot,Panamax,2025-05-15,2025-06-16,Urgent,Spot,24.32,USD,30,Standard,2025-04-30T00:00:00Z
13618,Thermal Coal,Indonesian High Calorie Coal,56900,"Vostochny, Russia",1,2023-11-12,2023-11-19,CoA,Supramax,2023-11-14,2024-01-05,Normal,CoA,37.18,USD,50,Standard,2023-10-18T00:00:00Z
13619,Iron Ore,Lump Ore,52300,"Vostochny, Russia",1,2024-02-20,2024-02-25,Spot,Supramax,2024-02-24,2024-04-16,High,Spot,38.24,USD,50,Standard,2024-01-23T00:00:00Z
13620,Coking Coal,Semi-Soft Coking Coal,60000,"Norfolk, USA",2,2024-06-29,2024-07-04,Spot,Supramax,2024-07-02,2024-08-22,Normal,Spot,40.32,USD,50,Standard,2024-06-04T00:00:00Z
13621,Coking Coal,PCI Coal,70100,"Maputo, Mozambique",4,2021-06-16,2021-06-21,Spot,Panamax,2021-06-19,2021-08-05,Normal,Spot,37.61,USD,50,Standard,2021-05-28T00:00:00Z
13622,Thermal Coal,Non-Coking Coal Grade G1-G5,70100,"Norfolk, USA",1,2023-10-28,2023-11-04,CoA,Panamax,2023-10-30,2023-12-17,Normal,CoA,40.3,USD,50,Low moisture cargo,2023-10-17T00:00:00Z
13623,Coking Coal,Hard Coking Coal,80300,"Newcastle, Australia",1,2026-01-22,2026-02-01,Spot,Panamax,2026-01-23,2026-02-19,Normal,Spot,24.82,USD,30,Standard,2025-12-29T00:00:00Z
13624,Coking Coal,Hard Coking Coal,72400,"Norfolk, USA",2,2021-10-24,2021-10-29,Spot,Panamax,2021-10-25,2021-12-14,Normal,Spot,37.02,USD,50,Standard,2021-09-28T00:00:00Z
13625,Iron Ore,Iron Ore Fines 62% Fe,25600,"Tanjung Priok, Indonesia",6,2021-06-30,2021-07-05,Spot,Handysize,2021-07-01,2021-07-23,Normal,Spot,16.86,USD,20,Standard,2021-06-08T00:00:00Z
13626,Limestone,Calcined Lime,57600,"Samarinda, Indonesia",2,2024-05-11,2024-05-16,Spot,Supramax,2024-05-14,2024-06-02,Normal,Spot,14.76,USD,20,Geared vessel required,2024-04-16T00:00:00Z
13627,Coking Coal,PCI Coal,153800,"Samarinda, Indonesia",1,2023-11-12,2023-11-19,Spot,Capesize,2023-11-16,2023-12-07,Normal,Spot,13.45,USD,20,Standard,2023-10-28T00:00:00Z
13628,Iron Ore,Iron Ore Pellets,69000,"Newcastle, Australia",2,2021-11-11,2021-11-16,CoA,Panamax,2021-11-15,2021-12-12,High,CoA,25.51,USD,30,Standard,2021-10-19T00:00:00Z
13629,Coking Coal,Semi-Soft Coking Coal,177500,"Vostochny, Russia",1,2025-06-17,2025-06-24,Spot,Capesize,2025-06-20,2025-08-06,High,Spot,29.88,USD,50,Low moisture cargo,2025-06-05T00:00:00Z
13630,Coking Coal,Semi-Soft Coking Coal,178100,"Norfolk, USA",4,2022-07-11,2022-07-18,Spot,Capesize,2022-07-14,2022-09-01,High,Spot,33.32,USD,50,Standard,2022-06-17T00:00:00Z
13631,Coking Coal,Hard Coking Coal,52500,"Port Hedland, Australia",1,2024-01-27,2024-02-03,CoA,Supramax,2024-02-02,2024-03-04,Normal,CoA,23.44,USD,30,Self-unloader preferred,2024-01-06T00:00:00Z
13632,Coking Coal,Semi-Soft Coking Coal,151200,"Samarinda, Indonesia",1,2025-01-06,2025-01-16,Spot,Capesize,2025-01-13,2025-01-31,Normal,Spot,14.62,USD,20,Standard,2024-12-12T00:00:00Z
13633,Coking Coal,Semi-Soft Coking Coal,160200,"Gladstone, Australia",4,2022-01-08,2022-01-18,CoA,Capesize,2022-01-10,2022-02-11,Normal,CoA,18.21,USD,30,Standard,2021-12-19T00:00:00Z
13634,Iron Ore,Iron Ore Fines 62% Fe,76100,"Norfolk, USA",9,2021-12-12,2021-12-19,Spot,Panamax,2021-12-17,2022-02-04,Normal,Spot,38.07,USD,50,Standard,2021-11-22T00:00:00Z
13635,Coking Coal,PCI Coal,149400,"Tanjung Priok, Indonesia",4,2025-11-16,2025-11-26,Spot,Capesize,2025-11-19,2025-12-07,Normal,Spot,13.62,USD,20,Standard,2025-10-30T00:00:00Z
13636,Coking Coal,Semi-Soft Coking Coal,75500,"Norfolk, USA",1,2023-02-26,2023-03-03,Spot,Panamax,2023-03-02,2023-04-19,Normal,Spot,35.29,USD,50,Standard,2023-02-05T00:00:00Z
13637,Thermal Coal,Indonesian High Calorie Coal,66500,"Samarinda, Indonesia",1,2025-01-02,2025-01-07,Spot,Panamax,2025-01-06,2025-01-29,High,Spot,13.25,USD,20,Standard,2024-12-21T00:00:00Z
13638,Thermal Coal,Non-Coking Coal Grade G1-G5,68100,"Vostochny, Russia",2,2024-07-10,2024-07-15,CoA,Panamax,2024-07-12,2024-08-31,Normal,CoA,36.32,USD,50,Standard,2024-07-03T00:00:00Z
13639,Thermal Coal,Indonesian High Calorie Coal,61900,"Hay Point, Australia",1,2023-10-27,2023-11-01,Spot,Supramax,2023-10-31,2023-12-01,Normal,Spot,23.19,USD,30,Standard,2023-10-20T00:00:00Z
13640,Coking Coal,Hard Coking Coal,79300,"Vostochny, Russia",2,2025-07-02,2025-07-07,Spot,Panamax,2025-07-05,2025-08-22,Normal,Spot,37.04,USD,50,Standard,2025-06-20T00:00:00Z
13641,Coking Coal,PCI Coal,149200,"Balikpapan, Indonesia",4,2021-06-29,2021-07-04,CoA,Capesize,2021-07-01,2021-07-21,Normal,CoA,12.77,USD,20,Standard,2021-06-03T00:00:00Z
13642,Coking Coal,Hard Coking Coal,52000,"Maputo, Mozambique",2,2023-11-10,2023-11-17,CoA,Supramax,2023-11-15,2024-01-06,Normal,CoA,37.41,USD,50,Standard,2023-10-27T00:00:00Z
13643,Coking Coal,Semi-Soft Coking Coal,68000,"Samarinda, Indonesia",3,2024-06-25,2024-07-02,Spot,Panamax,2024-06-26,2024-07-17,Normal,Spot,13.77,USD,20,Standard,2024-05-27T00:00:00Z
13644,Thermal Coal,Indonesian High Calorie Coal,70800,"Tanjung Priok, Indonesia",2,2022-09-16,2022-09-21,CoA,Panamax,2022-09-19,2022-10-06,Normal,CoA,16.35,USD,20,Low moisture cargo,2022-08-23T00:00:00Z
13645,Coking Coal,Semi-Soft Coking Coal,60300,"Baltimore, USA",1,2021-09-26,2021-10-06,Spot,Supramax,2021-10-03,2021-11-22,Normal,Spot,39.59,USD,50,Standard,2021-09-13T00:00:00Z
13646,Thermal Coal,Indonesian High Calorie Coal,78000,"Balikpapan, Indonesia",2,2023-09-30,2023-10-07,Spot,Panamax,2023-10-03,2023-10-24,Normal,Spot,13.12,USD,20,Standard,2023-09-05T00:00:00Z
13647,Thermal Coal,Non-Coking Coal Grade G1-G5,65200,"Balikpapan, Indonesia",8,2024-06-28,2024-07-03,Spot,Panamax,2024-07-02,2024-07-23,High,Spot,16.38,USD,20,Standard,2024-06-08T00:00:00Z
13648,Coking Coal,PCI Coal,175800,"Baltimore, USA",1,2022-07-10,2022-07-15,CoA,Capesize,2022-07-11,2022-09-01,Normal,CoA,33.28,USD,50,Low moisture cargo,2022-06-13T00:00:00Z
13649,Coking Coal,Hard Coking Coal,50600,"Samarinda, Indonesia",2,2021-05-03,2021-05-13,CoA,Supramax,2021-05-06,2021-05-29,Normal,CoA,12.82,USD,20,Standard,2021-04-20T00:00:00Z
13650,Coking Coal,Hard Coking Coal,75300,"Newcastle, Australia",2,2024-10-26,2024-11-05,Spot,Panamax,2024-11-03,2024-12-03,Normal,Spot,24.59,USD,30,Standard,2024-10-11T00:00:00Z
13651,Coking Coal,Hard Coking Coal,58800,"Baltimore, USA",3,2021-12-13,2021-12-20,Spot,Supramax,2021-12-14,2022-02-01,Normal,Spot,37.81,USD,50,Geared vessel required,2021-11-23T00:00:00Z
13652,Coking Coal,PCI Coal,71400,"Newcastle, Australia",2,2024-12-29,2025-01-05,Spot,Panamax,2025-01-03,2025-02-03,Normal,Spot,26.92,USD,30,Standard,2024-12-14T00:00:00Z
13653,Coking Coal,Semi-Soft Coking Coal,55200,"Samarinda, Indonesia",6,2023-03-08,2023-03-15,Spot,Supramax,2023-03-12,2023-04-03,Normal,Spot,14.47,USD,20,Standard,2023-02-23T00:00:00Z
13654,Thermal Coal,Indonesian High Calorie Coal,68200,"Balikpapan, Indonesia",1,2022-01-29,2022-02-05,Spot,Panamax,2022-02-02,2022-02-23,Normal,Spot,11.67,USD,20,Self-unloader preferred,2022-01-06T00:00:00Z
13655,Coking Coal,PCI Coal,76200,"Gladstone, Australia",4,2024-04-24,2024-04-29,Spot,Panamax,2024-04-28,2024-05-27,High,Spot,24.3,USD,30,Standard,2024-04-14T00:00:00Z
13656,Coking Coal,PCI Coal,156000,"Hay Point, Australia",3,2023-01-27,2023-02-06,Spot,Capesize,2023-01-31,2023-03-04,Normal,Spot,20.99,USD,30,Standard,2023-01-10T00:00:00Z
13657,Thermal Coal,Non-Coking Coal Grade G1-G5,56200,"Tanjung Priok, Indonesia",1,2022-11-12,2022-11-19,Spot,Supramax,2022-11-13,2022-12-04,High,Spot,16.68,USD,20,Standard,2022-10-15T00:00:00Z
13658,Coking Coal,Hard Coking Coal,144200,"Port Hedland, Australia",1,2025-04-04,2025-04-11,Spot,Capesize,2025-04-07,2025-05-07,Normal,Spot,21.78,USD,30,Standard,2025-03-13T00:00:00Z
13659,Iron Ore,Iron Ore Pellets,164400,"Gladstone, Australia",1,2025-03-23,2025-03-30,CoA,Capesize,2025-03-29,2025-04-30,Normal,CoA,20.93,USD,30,Standard,2025-03-16T00:00:00Z
13660,Thermal Coal,Non-Coking Coal Grade G1-G5,71000,"Samarinda, Indonesia",2,2022-03-13,2022-03-18,CoA,Panamax,2022-03-17,2022-04-08,Normal,CoA,15.96,USD,20,Standard,2022-03-03T00:00:00Z
13661,Iron Ore,Lump Ore,75200,"Tanjung Priok, Indonesia",1,2024-04-12,2024-04-26,Spot,Panamax,2024-04-21,2024-05-08,Normal,Spot,13.65,USD,20,Standard,2024-03-15T00:00:00Z
13662,Thermal Coal,Indonesian High Calorie Coal,81400,"Newcastle, Australia",4,2024-12-27,2025-01-03,Spot,Panamax,2024-12-28,2025-01-25,Normal,Spot,24.48,USD,30,Standard,2024-12-09T00:00:00Z
13663,Coking Coal,PCI Coal,78200,"Balikpapan, Indonesia",1,2025-10-23,2025-10-30,CoA,Panamax,2025-10-29,2025-11-15,Normal,CoA,17.56,USD,20,Standard,2025-10-05T00:00:00Z
13664,Thermal Coal,Non-Coking Coal Grade G1-G5,81300,"Maputo, Mozambique",1,2025-05-12,2025-05-17,CoA,Panamax,2025-05-14,2025-07-01,Normal,CoA,38.45,USD,50,Standard,2025-04-21T00:00:00Z
13665,Coking Coal,Semi-Soft Coking Coal,178400,"Baltimore, USA",3,2021-06-12,2021-06-19,Spot,Capesize,2021-06-17,2021-08-06,High,Spot,33.09,USD,50,Standard,2021-05-29T00:00:00Z
13666,Coking Coal,PCI Coal,70800,"Baltimore, USA",2,2025-01-12,2025-01-19,Spot,Panamax,2025-01-18,2025-03-12,Normal,Spot,37.6,USD,50,Standard,2024-12-25T00:00:00Z
13667,Limestone,SMS Grade Limestone,67000,"Gladstone, Australia",1,2021-08-23,2021-08-30,CoA,Panamax,2021-08-28,2021-09-26,Normal,CoA,26.12,USD,30,Standard,2021-08-02T00:00:00Z
13668,Coking Coal,Semi-Soft Coking Coal,179600,"Norfolk, USA",1,2021-10-02,2021-10-09,Spot,Capesize,2021-10-08,2021-11-27,Urgent,Spot,32.43,USD,50,Fast discharge required,2021-09-22T00:00:00Z
13669,Coking Coal,PCI Coal,69600,"Hay Point, Australia",1,2025-08-12,2025-08-19,CoA,Panamax,2025-08-14,2025-09-16,Urgent,CoA,25.89,USD,30,Standard,2025-07-15T00:00:00Z
13670,Coking Coal,Hard Coking Coal,55300,"Hay Point, Australia",2,2022-03-10,2022-03-20,Spot,Supramax,2022-03-12,2022-04-14,High,Spot,24.16,USD,30,Low moisture cargo,2022-03-02T00:00:00Z
13671,Coking Coal,Semi-Soft Coking Coal,53300,"Maputo, Mozambique",5,2022-02-24,2022-03-01,Spot,Supramax,2022-02-27,2022-04-20,Normal,Spot,41.19,USD,50,Geared vessel required,2022-01-26T00:00:00Z
13672,Coking Coal,Semi-Soft Coking Coal,72100,"Gladstone, Australia",1,2022-06-04,2022-06-09,Spot,Panamax,2022-06-08,2022-07-07,Normal,Spot,23.81,USD,30,Standard,2022-05-10T00:00:00Z
13673,Iron Ore,Iron Ore Pellets,26100,"Maputo, Mozambique",6,2022-05-01,2022-05-06,Spot,Handysize,2022-05-03,2022-06-24,Normal,Spot,44.76,USD,50,Fast discharge required,2022-04-04T00:00:00Z
13674,Coking Coal,PCI Coal,73700,"Maputo, Mozambique",1,2025-05-10,2025-05-24,Spot,Panamax,2025-05-15,2025-07-07,Normal,Spot,37.63,USD,50,Standard,2025-04-30T00:00:00Z
13675,Coking Coal,Hard Coking Coal,54600,"Hay Point, Australia",5,2025-09-02,2025-09-09,Spot,Supramax,2025-09-05,2025-10-02,Normal,Spot,23.57,USD,30,Standard,2025-08-15T00:00:00Z
